id,nombre,rubro,marca,proveedor,precio
1,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,ZANONI,AFA,10.85
2,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,ZANONI,AFA,6.52
3,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,NATURA,AGD,7.6
4,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,ALSAMAR,BUNGE,6.52
5,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,CORAZóN / GERSOL,GERMAíZ,10.85
6,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,CAñUELAS,MOLINOS CAñUELAS,7.32
7,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,CAñUELAS,MOLINOS CAñUELAS,11.8
8,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,COCINERO,MOLINOS RíO DE LA PLATA,12.02
9,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,COCINERO,MOLINOS RíO DE LA PLATA,7.54
10,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,LEGíTIMO,NIDERA,10.92
11,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,LEGíTIMO,NIDERA,6.57
12,ACEITE DE GIRASOL BOTELLA DE PLASTICO - 900 CC,ALMACÉN,COSTA DEL SOL,TANONI,6.93
13,ACEITE MEZCLA BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,CADA DíA,AGD,12.12
14,ACEITE MEZCLA BOTELLA DE PLASTICO - 900 CC,ALMACÉN,CADA DíA,AGD,7.6
15,ACEITE MEZCLA BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,EL RELICAIRO,GERMAíZ,10.85
16,ACEITE MEZCLA BOTELLA DE PLASTICO - 1500 CC,ALMACÉN,IDEAL,MOLINOS RIO DE LA PLATA,12.02
17,ACEITE MEZCLA BOTELLA DE PLASTICO - 900 CC,ALMACÉN,IDEAL,MOLINOS RIO DE LA PLATA,7.54
18,ACEITE MEZCLA BOTELLA DE PLASTICO - 900 CC,ALMACÉN,BELLA FLOR,NIEUW WERELD,6.52
19,ACEITE MEZCLA BOTELLA DE PLASTICO - 900 CC,ALMACÉN,MAROLIO,VICENTíN,5.57
20,AGUA MINERALIZADA SODA -  LT,BEBIDAS,KIN,COCA COLA FEMSA,9
21,AJÍ MORRÓN FRESCO ROJO - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),30
22,ALCOHOL ETILICO 96 ° - 500 CC,PERFUMERÍA,MF,FRADEALCO,12.5
